Nodal displacements
node#      x          y          u          v
  115    0.233393    1.836235    0.061066
  116    0.167815    1.896586   -0.011337
  117    0.206738    1.761639    0.151648
  118    0.145515    1.826433    0.094618
  119    0.178920    1.674947    0.120076
  120    0.111320    1.726977    0.062862
  121    0.162976    1.602529    0.180179
  122    0.103314    1.658501    0.134205
  123    0.129945    1.529549    0.150596
  124    0.065731    1.575320    0.103869
  125    0.117271    1.455953    0.189376
  126    0.063872    1.510559    0.151019
  127    0.087773    1.388294    0.162768
  128    0.029984    1.433420    0.123622
  129    0.072803    1.315367    0.186615
  130    0.029226    1.368921    0.152767
  131    0.053132    1.249046    0.162990
  132    0.004637    1.293412    0.128737
  133    0.034101    1.177295    0.175117
  134    0.001984    1.230747    0.143320
  135    0.028497    1.108827    0.154073
  136   -0.009429    1.153048    0.122493
  137    0.006278    1.038365    0.153456
  138   -0.015074    1.092449    0.122161
  139    0.015700    0.965873    0.133898
  140   -0.012286    1.010590    0.103428
  141    0.003191    0.879046    0.080990
  142   -0.012159    0.952903    0.054429
  143    0.011455    0.791383    0.075379
  144   -0.014331    0.849830    0.050568
  145    0.307793    2.383060   -0.846318
  146    0.459271    2.485881   -1.027297
  147    0.500619    2.145537   -0.798451
  148    0.584706    2.206250   -0.960977
  149    0.236000    2.256175   -0.476078
  150    0.288308    2.337070   -0.613719
  151    0.330759    2.075106   -0.465044
  152    0.345428    2.127200   -0.591187
  153    0.174266    2.124063   -0.217763
  154    0.163705    2.186895   -0.324488
  155    0.200248    1.985099   -0.231287
  156    0.171007    2.028358   -0.331745
  157    0.121373    1.988073   -0.045092
  158    0.073122    2.043655   -0.130466
  159    0.101600    1.876379   -0.071598
  160    0.045263    1.917567   -0.154228
  161    0.075512    1.851158    0.064541
  162    0.008620    1.901112   -0.005044
  163    0.029602    1.758552    0.030947
  164   -0.039779    1.797514   -0.038128
  165    0.037416    1.717511    0.126824
  166   -0.034577    1.763723    0.068561
  167   -0.019126    1.636844    0.091248
  168   -0.091563    1.674018    0.032396
  169    0.007115    1.588876    0.157111
  170   -0.061252    1.632697    0.106929
  171   -0.048601    1.514833    0.122884
  172   -0.117484    1.550598    0.071828
  173   -0.015836    1.460814    0.167244
  174   -0.075352    1.507374    0.123104
  175   -0.061989    1.387401    0.136280
  176   -0.123317    1.425580    0.091466
  177   -0.030606    1.331956    0.164374
  178   -0.078041    1.379529    0.124773
  179   -0.061955    1.257649    0.137657
  180   -0.112886    1.296519    0.097918
  181   -0.035114    1.204054    0.151198
  182   -0.069831    1.250840    0.115413
  183   -0.049889    1.129356    0.128581
  184   -0.089500    1.167406    0.093243
  185   -0.027116    1.081872    0.124990
  186   -0.050805    1.124492    0.093995
  187   -0.028527    1.011762    0.105813
  188   -0.057484    1.046408    0.075576
  189   -0.003914    0.973374    0.056125
  190   -0.016517    1.010499    0.038834
  191   -0.007065    0.921973    0.051302
  192   -0.024752    0.950892    0.034984
  193    0.364469    1.708485   -0.817879
  194    0.508378    1.763314   -0.926857
  195    0.487088    1.563585   -0.734464
  196    0.573431    1.592853   -0.831469
  197    0.166253    1.805729   -0.476623
  198    0.199412    1.840593   -0.565659
  199    0.201925    1.693120   -0.456650
  200    0.211998    1.713293   -0.538484
  201    0.034089    1.827405   -0.245193
